8:epoch:699 | loss:0.0005 | MAE:0.0167 | RMSE:0.0220 | RE:0.0016
8:epoch:799 | loss:0.0005 | MAE:0.0164 | RMSE:0.0213 | RE:0.0016
8:epoch:899 | loss:0.0004 | MAE:0.0161 | RMSE:0.0207 | RE:0.0016
8:epoch:999 | loss:0.0004 | MAE:0.0157 | RMSE:0.0201 | RE:0.0016
9:epoch:99 | loss:0.0008 | MAE:0.0204 | RMSE:0.0290 | RE:0.0016
9:epoch:199 | loss:0.0007 | MAE:0.0187 | RMSE:0.0257 | RE:0.0016
9:epoch:299 | loss:0.0006 | MAE:0.0178 | RMSE:0.0238 | RE:0.0016
9:epoch:399 | loss:0.0005 | MAE:0.0172 | RMSE:0.0225 | RE:0.0016
9:epoch:499 | loss:0.0005 | MAE:0.0166 | RMSE:0.0215 | RE:0.0016
9:epoch:599 | loss:0.0004 | MAE:0.0161 | RMSE:0.0207 | RE:0.0016
9:epoch:699 | loss:0.0004 | MAE:0.0157 | RMSE:0.0200 | RE:0.0016
9:epoch:799 | loss:0.0004 | MAE:0.0154 | RMSE:0.0195 | RE:0.0000
9:epoch:899 | loss:0.0004 | MAE:0.0150 | RMSE:0.0189 | RE:0.0000
9:epoch:999 | loss:0.0003 | MAE:0.0146 | RMSE:0.0184 | RE:0.0000
re mean: 0.0002mae mean: 0.0152rmse mean: 0.0193
RNN:re mean: 0.0000RNN:mae mean: 0.0148RNN:rmse mean: 0.0185
GRU:re mean: 0.0000GRU:mae mean: 0.0093GRU:rmse mean: 0.0132
LSTM:re mean: 0.0000LSTM:mae mean: 0.0063LSTM:rmse mean: 0.0092

GRU-0:re mean: 0.0000GRU-0:mae mean: 0.0093GRU-0:rmse mean: 0.0132
LSTM-0:re mean: 0.0000LSTM-0:mae mean: 0.0063LSTM-0:rmse mean: 0.0092
RNN-0:re mean: 0.0000RNN-0:mae mean: 0.0148RNN-0:rmse mean: 0.0185
GRU-0.2:re mean: 0.0000GRU-0.2:mae mean: 0.0093GRU-0.2:rmse mean: 0.0132
LSTM-0.2:re mean: 0.0000LSTM-0.2:mae mean: 0.0063LSTM-0.2:rmse mean: 0.0092
RNN-0.2:re mean: 0.0000RNN-0.2:mae mean: 0.0148RNN-0.2:rmse mean: 0.0185
GRU-0.4:re mean: 0.0000GRU-0.4:mae mean: 0.0093GRU-0.4:rmse mean: 0.0132
LSTM-0.4:re mean: 0.0000LSTM-0.4:mae mean: 0.0063LSTM-0.4:rmse mean: 0.0092
RNN-0.4:re mean: 0.0000RNN-0.4:mae mean: 0.0148RNN-0.4:rmse mean: 0.0185
RNN-0:re mean: 0.0000RNN-0:mae mean: 0.0148RNN-0:rmse mean: 0.0185
LSTM-0:re mean: 0.0000LSTM-0:mae mean: 0.0063LSTM-0:rmse mean: 0.0092
GRU-0:re mean: 0.0000GRU-0:mae mean: 0.0093GRU-0:rmse mean: 0.0132
RNN-0.2:re mean: 0.0000RNN-0.2:mae mean: 0.0148RNN-0.2:rmse mean: 0.0185
LSTM-0.2:re mean: 0.0000LSTM-0.2:mae mean: 0.0063LSTM-0.2:rmse mean: 0.0092
GRU-0.2:re mean: 0.0000GRU-0.2:mae mean: 0.0093GRU-0.2:rmse mean: 0.0132
RNN-0.4:re mean: 0.0000RNN-0.4:mae mean: 0.0148RNN-0.4:rmse mean: 0.0185
LSTM-0.4:re mean: 0.0000LSTM-0.4:mae mean: 0.0063LSTM-0.4:rmse mean: 0.0092
GRU-0.4:re mean: 0.0000GRU-0.4:mae mean: 0.0093GRU-0.4:rmse mean: 0.0132
LSTM-0:mae mean: 0.0196LSTM-0:rmse mean: 0.0313
GRU-0:mae mean: 0.0312GRU-0:rmse mean: 0.0390
RNN-0:mae mean: 0.0274RNN-0:rmse mean: 0.0414
LSTM-0.2:mae mean: 0.0137LSTM-0.2:rmse mean: 0.0187
GRU-0.2:mae mean: 0.0362GRU-0.2:rmse mean: 0.0407
RNN-0.2:mae mean: 0.0193RNN-0.2:rmse mean: 0.0246
LSTM-0.4:mae mean: 0.0154LSTM-0.4:rmse mean: 0.0207
RNN-0.4:mae mean: 0.0208RNN-0.4:rmse mean: 0.0262
GRU-0.4:mae mean: 0.0386GRU-0.4:rmse mean: 0.0422
RNN2000-0:mae mean: 0.0261RNN2000-0:rmse mean: 0.0391
GRU2000-0:mae mean: 0.0312GRU2000-0:rmse mean: 0.0390
LSTM2000-0:mae mean: 0.0199LSTM2000-0:rmse mean: 0.0304
RNN2000-0.2:mae mean: 0.0188RNN2000-0.2:rmse mean: 0.0237
GRU2000-0.2:mae mean: 0.0362GRU2000-0.2:rmse mean: 0.0407
LSTM2000-0.2:mae mean: 0.0135LSTM2000-0.2:rmse mean: 0.0186
RNN2000-0.4:mae mean: 0.0199RNN2000-0.4:rmse mean: 0.0248
GRU2000-0.4:mae mean: 0.0386GRU2000-0.4:rmse mean: 0.0422
LSTM2000-0.4:mae mean: 0.0153LSTM2000-0.4:rmse mean: 0.0209
